,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted,budget_per_actor,budget_per_time,runtime_per_actor,percent_revenue,total_ratings,book,sup,hor,com,spy,his,war,psy,rom,mon,fan,mus,pol,bio,sci,act,dra,dis,adv,mys,thr,dys,cri,epi,oth,ani,based_on_book,other,prescore,postscore,precount_wins,precount_noms
43,tt0019585,the wind,2019,5573,8.3,,,1.0,2,113.0,0.3921568627450981,,,,113.0,,46.255900000000004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.2,0.0,0,1
44,tt7315484,the silence,2019,28594,5.2,,2.3,4.0,3,90.0,0.3921568627450981,,,,22.5,,148.68880000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.2,0.0,0,1
45,tt0167190,hellboy,2019,295290,6.8,50.0,44.6,6.0,4,121.0,0.3921568627450981,19.607843137254907,3.267973856209151,0.16204829039053642,20.166666666666668,-10.799999999999997,2007.972,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0.4,0.0,0,2
46,tt0449059,little,2019,417807,7.8,40.0,,12.0,2,135.0,0.3921568627450981,15.686274509803926,1.3071895424836606,0.1161946259985476,11.25,,3258.8946,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,25.211111111111112,0.0,4,27
47,tt6348138,missing link,2019,9967,6.7,100.0,26.2,3.0,3,94.0,0.3921568627450981,39.215686274509814,13.071895424836605,0.4171881518564874,31.333333333333332,-73.8,66.77890000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.0,0,0.2,0.0,0,1
48,tt4126476,after,2019,21681,5.4,14.0,69.5,2.0,2,106.0,0.3921568627450981,5.4901960784313735,2.7450980392156867,0.05179430262671107,53.0,396.42857142857144,117.07740000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0
49,tt7083526,breakthrough,2019,5035,6.2,14.0,50.4,7.0,2,116.0,0.3921568627450981,5.4901960784313735,0.7843137254901962,0.047329276538201494,16.571428571428573,260.0,31.217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0
50,tt4913966,the curse of la llorona,2019,26787,5.4,9.0,122.1,3.0,3,93.0,0.3921568627450981,3.5294117647058827,1.1764705882352942,0.037950664136622396,31.0,1256.6666666666667,144.64980000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0
51,tt1442437,family,2019,319640,8.4,24.0,190.4,8.0,6,87.0,0.3921568627450981,9.411764705882355,1.1764705882352944,0.10818120351588914,10.875,693.3333333333334,2684.976,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1.0,0,10.600000000000001,0.0,2,3
52,tt4058836,i spit on your grave: deja vu,2019,1335,2.4,,,3.0,2,148.0,0.3921568627450981,,,,49.333333333333336,,3.204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0
53,tt8708304,i trapped the devil,2019,1217,4.8,,,5.0,3,82.0,0.3921568627450981,,,,16.4,,5.8416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
54,tt7942746,body at brighton rock,2019,864,4.6,,,8.0,2,87.0,0.3921568627450981,,,,10.875,,3.9743999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0
