,imdbID,title,year,budget_per_actor,budget_per_time,runtime_per_actor,percent_revenue,total_ratings
105,tt1478839,the art of racing in the rain,2019,3.267973856209151,0.1798884691491276,18.166666666666668,-32.400000000000006,75.18
106,tt3387520,scary stories to tell in the dark,2019,1.2200435729847496,0.10167029774872914,12.0,273.2142857142857,221.3834
107,tt4364194,the peanut butter falcon,2019,0.34733893557422973,0.024809923969587838,14.0,235.48387096774198,169.2691
108,tt0457655,after the wedding,2019,,,27.5,,230.1376
109,tt6063090,light of my life,2019,,,29.75,,30.9408
110,tt6095472,the angry birds movie 2,2019,2.5490196078431375,0.26278552658176674,9.7,130.76923076923077,64.096
111,tt8266310,blinded by the light,2019,0.9803921568627453,0.05027652086475617,19.5,17.33333333333334,63.7629
112,tt7343762,good boys,2019,1.3071895424836601,0.08812513769552766,14.833333333333334,454.5,204.5644
113,tt2365580,"where'd you go, bernadette",2019,1.4117647058823528,0.06475984889368591,21.8,-43.888888888888886,24.557
114,tt7329656,47 meters down: uncaged,2019,0.5882352941176472,0.052875082617316604,11.125,233.33333333333334,46.92
115,tt7798634,ready or not,2019,0.47058823529411775,0.024767801857585144,19.0,856.6666666666666,297.528
116,tt6189022,angel has fallen,2019,1.9607843137254908,0.12963863231242914,15.125,253.25000000000006,251.12320000000003
117,tt7671064,brittany runs a marathon,2019,,,20.6,,43.452
118,tt8186318,overcomer,2019,0.32679738562091504,0.017050298380221655,19.166666666666668,658.0,11.987200000000001
120,tt5431890,official secrets,2019,,,18.666666666666668,,58.3197
121,tt6803212,don't let go,2019,0.4901960784313726,0.01832508704416346,26.75,5.9999999999999964,7.0741000000000005
122,tt6895284,itsy bitsy,2019,,,23.5,,19.454100000000004
123,tt7869070,the fanatic,2019,,,22.0,,18.3126
124,tt8510350,satanic panic,2019,,,6.153846153846154,,10.2465
125,tt8815382,the obituary of tunde johnson,2019,,,34.666666666666664,,0.152
126,tt3864056,the goldfinch,2019,2.4019607843137263,0.12896433741281751,18.625,-80.20408163265306,40.1688
127,tt5503686,hustlers,2019,1.1596638655462186,0.07379679144385028,15.714285714285714,653.6231884057972,182.247
128,tt9352926,the sound of silence,2019,0.0019607843137254906,9.227220299884661e-05,21.25,,2.1465
129,tt9252508,tall girl,2019,,,10.2,,62.349199999999996
130,tt2935510,ad astra,2019,7.843137254901963,0.31625553447185334,24.8,30.0,587.8804
131,tt1606375,downton abbey,2019,1.1204481792717087,0.06428801028608165,17.428571428571427,859.0,1298.9796
132,tt1206885,rambo: last blood,2019,2.4509803921568634,0.22031284423881917,11.125,82.0,208.2624
134,tt4332232,fractured,2019,,,16.666666666666668,,205.9281
135,tt6324278,abominable,2019,4.201680672268908,0.3032140691328078,13.857142857142858,136.9333333333333,65.037
136,tt5865326,the laundromat,2019,,,11.875,,160.0074
137,tt7549996,judy,2019,,,23.6,,54.9611
138,tt7286456,joker,2019,27.450980392156865,0.22500803600128577,122.0,1415.7142857142858,4468.902899999999
139,tt4682804,lucy in the sky,2019,1.7647058823529413,0.08538899430740039,20.666666666666668,-98.81481481481481,3.3975
140,tt8526872,dolemite is my name,2019,,,16.857142857142858,,163.08120000000002
