,index,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,running_time
236,277,tt0167872,david copperfield,2019,3841,7.7,,,10,119
237,278,tt0330801,rocks,2019,1863,7.7,,,5,
238,279,tt7587876,hope gap,2019,72,7.4,,,3,100
239,281,tt8951692,military wives,2019,18,7.8,,,3,112
240,282,tt10121372,roger waters: us + them,2019,486,8.0,,,9,135
241,283,tt0015881,greed,2019,8406,8.1,,,8,104
242,284,tt4193072,how to build a girl,2019,48,6.9,,,5,102
243,285,tt6290584,my zoe,2019,54,6.8,,,4,
244,287,tt7557108,saint maud,2019,21,7.1,,,2,83
245,288,tt1657517,the song of names,2019,109,6.6,,,2,
246,289,tt0269267,ordinary love,2019,17,7.3,,,2,92
247,291,tt6017756,radioactive,2019,99,7.0,,,5,110
248,292,tt6193408,a shaun the sheep movie: farmageddon,2019,1618,7.1,,30.8,2,87
249,293,tt0983983,shaun the sheep,2019,10796,8.2,,30.8,2,87
250,294,tt2872750,shaun the sheep movie,2019,34131,7.3,,30.8,2,87
251,306,tt6563576,the queen's corgi,2019,3018,4.7,20.0,25.0,5,85
252,307,tt8000908,robert the bruce,2019,703,5.1,,0.02,3,124
