,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted
103,tt7547410,dora and the lost city of gold,2019,12689,6.0,49.0,119.7,5,3,102,0.3921568627450981,19.215686274509807
104,tt5822564,the kitchen,2019,6698,5.2,38.0,15.9,9,3,103,0.3921568627450981,14.901960784313728
105,tt1478839,the art of racing in the rain,2019,10024,7.5,50.0,33.8,6,3,109,0.3921568627450981,19.607843137254903
106,tt3387520,scary stories to tell in the dark,2019,35707,6.2,28.0,104.5,9,3,108,0.3921568627450981,10.980392156862747
107,tt4364194,the peanut butter falcon,2019,21983,7.7,6.2,20.8,7,3,98,0.3921568627450981,2.431372549019608
108,tt0457655,after the wedding,2019,29888,7.7,,2.7,4,1,110,0.3921568627450981,
109,tt6063090,light of my life,2019,4688,6.6,,0.21,4,3,119,0.3921568627450981,
110,tt6095472,the angry birds movie 2,2019,10015,6.4,65.0,150.0,10,3,97,0.3921568627450981,25.490196078431374
111,tt8266310,blinded by the light,2019,9241,6.9,15.0,17.6,6,2,117,0.3921568627450981,5.882352941176471
112,tt7343762,good boys,2019,30532,6.7,20.0,110.9,6,2,89,0.3921568627450981,7.843137254901961
113,tt2365580,"where'd you go, bernadette",2019,3778,6.5,18.0,10.1,5,3,109,0.3921568627450981,7.058823529411765
114,tt7329656,47 meters down: uncaged,2019,9384,5.0,12.0,40.0,8,3,89,0.3921568627450981,4.7058823529411775
115,tt7798634,ready or not,2019,43120,6.9,6.0,57.4,5,4,95,0.3921568627450981,2.3529411764705888
116,tt6189022,angel has fallen,2019,39238,6.4,40.0,141.3,8,2,121,0.3921568627450981,15.686274509803923
117,tt7671064,brittany runs a marathon,2019,6390,6.8,,7.4,5,2,103,0.3921568627450981,
118,tt8186318,overcomer,2019,1873,6.4,5.0,37.9,6,1,115,0.3921568627450981,1.9607843137254903
119,tt8009314,burn,2019,1450,5.6,,0.02,5,1,,0.3921568627450981,
120,tt5431890,official secrets,2019,7989,7.3,,5.5,6,3,112,0.3921568627450981,
121,tt6803212,don't let go,2019,1199,5.9,5.0,5.3,4,5,107,0.3921568627450981,1.9607843137254903
122,tt6895284,itsy bitsy,2019,3413,5.7,,,4,3,94,0.3921568627450981,
123,tt7869070,the fanatic,2019,3981,4.6,,0.0,4,3,88,0.3921568627450981,
124,tt8510350,satanic panic,2019,1863,5.5,,,13,2,80,0.3921568627450981,
125,tt8815382,the obituary of tunde johnson,2019,19,8.0,,,3,1,104,0.3921568627450981,
126,tt3864056,the goldfinch,2019,6376,6.3,49.0,9.7,8,1,149,0.3921568627450981,19.215686274509807
127,tt5503686,hustlers,2019,28038,6.5,20.7,156.0,7,3,110,0.3921568627450981,8.11764705882353
128,tt9352926,the sound of silence,2019,405,5.3,0.02,,4,1,85,0.3921568627450981,0.007843137254901962
129,tt9252508,tall girl,2019,11764,5.3,,,10,2,102,0.3921568627450981,
130,tt2935510,ad astra,2019,86453,6.8,100.0,130.0,5,4,124,0.3921568627450981,39.21568627450981
131,tt1606375,downton abbey,2019,149308,8.7,20.0,191.8,7,3,122,0.3921568627450981,7.843137254901961
132,tt1206885,rambo: last blood,2019,32541,6.4,50.0,91.0,8,3,89,0.3921568627450981,19.607843137254903
133,tt5792656,running with the devil,2019,2188,5.4,,,2,4,,0.3921568627450981,
134,tt4332232,fractured,2019,32687,6.3,,,6,3,100,0.3921568627450981,
135,tt6324278,abominable,2019,9291,7.0,75.0,177.7,7,3,97,0.3921568627450981,29.411764705882355
136,tt5865326,the laundromat,2019,25398,6.3,,,8,4,95,0.3921568627450981,
137,tt7549996,judy,2019,7741,7.1,,37.8,5,3,118,0.3921568627450981,
138,tt7286456,joker,2019,513667,8.7,70.0,1061.0,1,4,122,0.3921568627450981,27.450980392156865
139,tt4682804,lucy in the sky,2019,755,4.5,27.0,0.32,6,2,124,0.3921568627450981,10.588235294117649
140,tt8526872,dolemite is my name,2019,22038,7.4,,,7,3,118,0.3921568627450981,
141,tt4687108,in the tall grass,2019,30374,5.5,,,6,3,90,0.3921568627450981,
142,tt7434324,low tide,2019,765,6.1,,,6,2,90,0.3921568627450981,
143,tt9097270,wrinkles the clown,2019,272,4.7,,0.01,1,2,75,0.3921568627450981,
144,tt0097758,little monsters,2019,10507,6.1,,,5,3,94,0.3921568627450981,
145,tt1025100,gemini man,2019,31943,5.7,138.0,173.2,4,4,117,0.3921568627450981,54.117647058823536
146,tt0101272,the addams family,2019,121787,6.9,24.0,190.4,8,4,87,0.3921568627450981,9.411764705882355
147,tt7984766,the king,2019,48115,7.3,,0.01,6,3,140,0.3921568627450981,
148,tt9354944,jexi,2019,3892,6.5,5.0,7.5,4,2,84,0.3921568627450981,1.9607843137254903
149,tt9243946,el camino: a breaking bad movie,2019,128381,7.5,6.0,0.04,1,4,122,0.3921568627450981,2.3529411764705888
150,tt4777008,maleficent: mistress of evil,2019,27992,7.0,185.0,487.9,9,2,118,0.3921568627450981,72.54901960784315
151,tt1560220,zombieland: double tap,2019,33435,7.2,48.0,120.6,9,3,99,0.3921568627450981,18.82352941176471
152,tt2584384,jojo rabbit,2019,16181,8.1,14.0,25.3,8,2,108,0.3921568627450981,5.4901960784313735
153,tt7984734,the lighthouse,2019,13804,8.3,4.0,11.6,2,5,110,0.3921568627450981,1.5686274509803924
154,tt5913798,wounds,2019,8316,4.1,,,3,4,94,0.3921568627450981,
155,tt7390646,black and blue,2019,1943,5.7,12.0,22.7,6,4,108,0.3921568627450981,4.7058823529411775
156,tt10039344,countdown,2019,3613,5.4,6.5,39.1,8,2,90,0.3921568627450981,2.5490196078431375
157,tt6196936,the kill team,2019,1095,5.9,,0.37,8,4,87,0.3921568627450981,
158,tt7473716,the gallows act ii,2019,602,4.4,,,3,3,,0.3921568627450981,
159,tt6450804,terminator: dark fate,2019,50506,6.5,196.0,260.6,6,3,128,0.3921568627450981,76.86274509803923
160,tt0385887,motherless brooklyn,2019,7112,7.1,26.0,15.3,7,4,144,0.3921568627450981,10.19607843137255
161,tt1302006,the irishman,2019,9801,8.7,159.0,7.8,3,4,209,0.3921568627450981,62.352941176470594
162,tt4648786,harriet,2019,3815,6.5,17.0,42.3,4,3,125,0.3921568627450981,6.666666666666668
163,tt4426464,arctic dogs,2019,414,3.9,50.0,8.4,9,3,93,0.3921568627450981,19.607843137254903
164,tt7653254,marriage story,2019,15163,8.5,18.0,2.2,7,3,136,0.3921568627450981,7.058823529411765
165,tt5606664,doctor sleep,2019,36389,7.6,55.0,71.2,4,3,152,0.3921568627450981,21.568627450980394
