,imdbID,budget,cast_size,gross,imdb_rating,n_votes,runtime,title,year
1655,tt0072431,2.78,7,86.2,8.0,135795,105.0,Young Frankenstein,1974
1656,tt0190641,30.0,4,85.74,6.2,37361,96.0,Pokémon: The First Movie - Mewtwo Strikes Back,1998
1657,tt0345950,30.0,4,85.42,7.0,73317,11.0,The SpongeBob SquarePants Movie,2004
1658,tt0173840,137.0,7,85.1,6.4,78543,106.0,Final Fantasy: The Spirits Within,2001
1659,tt0443706,65.0,9,85.0,7.7,408276,157.0,Zodiac,2007
1660,tt0255798,47.0,5,85.0,4.8,54633,136.0,The Animal,2001
1661,tt1616195,35.0,5,84.9,6.5,117590,140.0,J. Edgar,2011
1662,tt1073498,30.0,9,84.6,2.8,98625,83.0,Meet the Spartans,2008
1663,tt3397884,30.0,4,85.0,7.6,339996,121.0,Sicario,2015
1664,tt0079219,25.0,7,84.9,7.1,2717,96.0,Going in Style,1979
1665,tt0088933,17.5,11,85.3,6.7,53599,117.0,Cocoon,1985
1666,tt0416320,15.0,6,85.3,7.6,195039,124.0,Match Point,2005
1667,tt0083131,10.0,5,85.3,6.9,60638,106.0,Stripes,1981
1668,tt0388482,4.6,10,85.1,6.3,183132,87.0,Transporter 2,2005
1669,tt0112792,30.0,5,33.1,6.5,45640,113.0,Dangerous Minds,1995
1670,tt1571234,150.0,8,83.7,6.1,86320,128.0,Mortal Engines,2018
1671,tt1872194,50.0,8,84.4,7.4,166640,142.0,The Judge,2014
1672,tt1586265,40.0,10,84.4,5.7,66993,110.0,What to Expect When You're Expecting,2012
1673,tt0151738,25.0,8,84.5,6.0,78957,107.0,Never Been Kissed,1999
1674,tt0102685,24.0,4,83.5,7.3,144275,122.0,Point Break,1991
1675,tt0130018,24.0,7,84.0,4.7,65293,101.0,I Still Know What You Did Last Summer,1998
1676,tt2058673,24.0,4,83.5,5.3,55011,122.0,Point Break,2015
1677,tt0075097,20.0,6,84.1,5.0,561,96.0,The Premonition,1976
1678,tt0105414,16.0,4,84.0,6.4,29658,107.0,Single White Female,1992
1679,tt0097351,15.0,5,84.4,7.5,102003,107.0,Field of Dreams,1989
1680,tt0208092,10.0,7,83.6,8.3,735768,102.0,Snatch,2000
1681,tt0090633,9.0,13,84.5,6.9,46028,80.0,An American Tail,1986
1682,tt0255477,2.0,8,84.0,4.3,7331,88.0,Pinocchio,2002
1683,tt0985699,90.0,7,200.3,7.1,217576,124.0,Valkyrie,2008
1684,tt0095016,28.0,4,83.01,8.2,736297,132.0,Die Hard,1988
1685,tt0221027,53.0,8,83.3,7.6,228310,124.0,Blow,2001
1686,tt1615065,9.0,3,9.6,6.5,117037,113.0,Savages,2012
1687,tt0480687,36.0,7,83.2,5.8,115401,109.0,Hall Pass,2011
1688,tt0388125,35.0,3,83.073883,6.4,57372,130.0,In Her Shoes,2005
1689,tt0464154,24.0,8,83.1,5.4,82803,88.0,Piranha 3D,2010
1690,tt0158983,21.0,4,83.0,7.7,185277,81.0,"South Park: Bigger, Longer & Uncut",1999
1691,tt0112818,11.0,6,83.0,7.5,84209,122.0,Dead Man Walking,1995
1692,tt0112817,9.0,14,1.0,7.6,85422,120.0,Dead Man,1995
1693,tt0289043,8.0,5,82.7,7.6,352934,113.0,28 Days Later...,2002
1694,tt0113862,31.0,4,106.269971,7.3,33984,143.0,Mr. Holland's Opus,1995
