,title,year,imdbID,book,sup,hor,com,spy,his,war,psy,rom,mon,fan,mus,pol,bio,sci,act,dra,dis,adv,mys,thr,dys,cri,epi,oth,ani,based_on_book,other
99,the red sea diving resort,2019.0,tt4995776,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,1,0,0.0,0
100,fast & furious presents: hobbs & shaw,2019.0,tt1905041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1,0,0,0,0,0,0.0,0
101,a score to settle,2019.0,tt3758162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,0,1,0,0,0,0.0,0
102,the operative,2019.0,tt8000718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0
103,dora and the lost city of gold,2019.0,tt7547410,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0
104,the kitchen,2019.0,tt5822564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,1,0,0,0,1.0,0
105,the art of racing in the rain,2019.0,tt1478839,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
106,scary stories to tell in the dark,2019.0,tt3387520,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0
107,the peanut butter falcon,2019.0,tt4364194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0.0,0
108,after the wedding,2019.0,tt0457655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
109,light of my life,2019.0,tt6063090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0.0,0
110,the angry birds movie 2,2019.0,tt6095472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,1.0,0
111,blinded by the light,2019.0,tt8266310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
112,good boys,2019.0,tt7343762,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0
113,"where'd you go, bernadette",2019.0,tt2365580,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,1.0,0
114,47 meters down: uncaged,2019.0,tt7329656,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0.0,0
115,ready or not,2019.0,tt7798634,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0
116,angel has fallen,2019.0,tt6189022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,1.0,0
117,brittany runs a marathon,2019.0,tt7671064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
118,overcomer,2019.0,tt8186318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
120,official secrets,2019.0,tt5431890,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,0,0,0,1.0,0
121,don't let go,2019.0,tt6803212,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,1,0,0,0,0,0,0.0,0
122,itsy bitsy,2019.0,tt6895284,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0
123,the fanatic,2019.0,tt7869070,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0
124,satanic panic,2019.0,tt8510350,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
125,the obituary of tunde johnson,2019.0,tt8815382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
126,the goldfinch,2019.0,tt3864056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
127,hustlers,2019.0,tt5503686,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0,1.0,0
128,the sound of silence,2019.0,tt9352926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
129,tall girl,2019.0,tt9252508,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
130,ad astra,2019.0,tt2935510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,1.0,1,0,0,0,0,0,0,0.0,0
131,downton abbey,2019.0,tt1606375,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
132,rambo: last blood,2019.0,tt1206885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1,0,0,0,0,0,1.0,0
134,fractured,2019.0,tt4332232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0
135,abominable,2019.0,tt6324278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.0,0
136,the laundromat,2019.0,tt5865326,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,0,0,0,1.0,0
137,judy,2019.0,tt7549996,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
138,joker,2019.0,tt7286456,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,1,0,0,0,1.0,0
139,lucy in the sky,2019.0,tt4682804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
140,dolemite is my name,2019.0,tt8526872,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
141,in the tall grass,2019.0,tt4687108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,1.0,0
142,low tide,2019.0,tt7434324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0.0,0
143,wrinkles the clown,2019.0,tt9097270,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
144,little monsters,2019.0,tt0097758,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0
145,gemini man,2019.0,tt1025100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,1,0,0,0,0,0,0.0,0
146,the addams family,2019.0,tt0101272,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0
147,the king,2019.0,tt7984766,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
148,jexi,2019.0,tt9354944,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
149,el camino: a breaking bad movie,2019.0,tt9243946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,0,1,0,0,0,1.0,0
150,maleficent: mistress of evil,2019.0,tt4777008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0
151,zombieland: double tap,2019.0,tt1560220,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0
152,jojo rabbit,2019.0,tt2584384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
153,the lighthouse,2019.0,tt7984734,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0.0,0
154,wounds,2019.0,tt5913798,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,1.0,0
155,black and blue,2019.0,tt7390646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,0,1,0,0,0,0.0,0
156,countdown,2019.0,tt10039344,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0
157,the kill team,2019.0,tt6196936,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,1,0,0,0,0,0,0.0,0
159,terminator: dark fate,2019.0,tt6450804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0
160,motherless brooklyn,2019.0,tt0385887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,1,0,1,0,1.0,0
161,the irishman,2019.0,tt1302006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,1,0,0,1.0,0
162,harriet,2019.0,tt4648786,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
163,arctic dogs,2019.0,tt4426464,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.0,0
164,marriage story,2019.0,tt7653254,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
165,doctor sleep,2019.0,tt5606664,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
166,last christmas,2019.0,tt8623904,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
167,playing with fire,2019.0,tt9134216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
168,midway,2019.0,tt0074899,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
169,klaus,2019.0,tt4729430,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.0,0
170,honey boy,2019.0,tt8151874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
171,ford v ferrari,2019.0,tt1950186,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0,0,0,0,0,0,0,1,0,0.0,0
172,charlie's angels,2019.0,tt0160127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1.0,0
173,the good liar,2019.0,tt5563334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,1,0,1,0,0,0,1.0,0
