,title,year,imdbID,book,sup,hor,com,spy,his,war,psy,rom,mon,fan,mus,pol,bio,sci,act,dra,dis,adv,mys,thr,dys,cri,epi,oth,ani,based_on_book,other
46,despicable me 2,2013.0,tt1690953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
47,the lion king,1994.0,tt0110357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0.0,0
48,the jungle book,1967.0,tt3040964,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,1.0,0
49,pirates of the caribbean: at world's end,2007.0,tt0449088,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1.0,0
50,jumanji: welcome to the jungle,2017.0,tt2283362,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
51,harry potter and the deathly hallows  part 1,2010.0,tt0926084,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
52,harry potter and the deathly hallows: part 2,2011.0,tt1201607,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,1.0,0
53,the hobbit: the desolation of smaug,2013.0,tt1170358,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0
54,the hobbit: the battle of the five armies,2014.0,tt2310332,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0
55,harry potter and the half-blood prince,2009.0,tt0417741,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
56,the lord of the rings: the two towers,2002.0,tt0167261,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,1,0,0,0,0,1,0,0,1.0,0
57,shrek 2,2004.0,tt0298148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0
58,bohemian rhapsody,2018.0,tt1727824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0
59,harry potter and the goblet of fire,2005.0,tt0330373,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
60,scary movie 3,2003.0,tt0306047,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0
61,spectre,2015.0,tt2379713,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
62,spider-man: homecoming,2017.0,tt2250912,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
63,harry potter and the chamber of secrets,2002.0,tt0295297,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
64,ice age: continental drift,2012.0,tt1667889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
65,batman v superman: dawn of justice,2016.0,tt2975590,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
66,the lord of the rings: the fellowship of the ring,2001.0,tt0120737,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,1,0,0,0,0,1,0,0,1.0,0
67,finding nemo,2003.0,tt0266543,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
68,the hunger games: catching fire,2013.0,tt1951264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1.0,0
69,guardians of the galaxy vol. 2,2017.0,tt3896198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1.0,0
70,inside out,2015.0,tt2096673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0.0,0
71,venom,1981.0,tt1270797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0,0,0,0,0,1.0,0
72,thor: ragnarok,2017.0,tt3501632,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
73,star wars: episode iii - revenge of the sith,2005.0,tt0121766,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0
74,transformers: revenge of the fallen,2009.0,tt1055369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
75,the twilight saga: breaking dawn - part 1,2011.0,tt1324999,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,1.0,0
76,the matrix reloaded,2003.0,tt0234215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0
77,inception,2010.0,tt1375666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0
78,wonder woman,2017.0,tt0451279,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
79,independence day,1983.0,tt0116629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0
80,fantastic beasts and where to find them,2016.0,tt3183660,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
81,shrek the third,2007.0,tt0413267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0
82,harry potter and the prisoner of azkaban,2004.0,tt0304141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
83,pirates of the caribbean: dead men tell no tales,2017.0,tt1790809,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
84,e.t. the extra-terrestrial,1982.0,tt0083866,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
85,mission: impossible - fallout,2018.0,tt4912910,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
86,furious 6,2013.0,tt1905041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
87,indiana jones and the kingdom of the crystal skull,2008.0,tt0367882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
88,deadpool 2,2018.0,tt5463162,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
89,deadpool,2016.0,tt1431045,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
90,star wars,1977.0,tt0076759,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0
91,guardians of the galaxy,2014.0,tt2015381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1.0,0
92,avatar,2009.0,tt0499549,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.0,0
93,maleficent,2014.0,tt1587310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
94,the amazing spider-man,2012.0,tt0948470,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0
95,the da vinci code,2006.0,tt0382625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1.0,0
96,the hunger games: mockingjay - part 1,2014.0,tt1951265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1.0,0
97,shrek forever after,2010.0,tt0892791,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0
98,x-men: days of future past,2014.0,tt1877832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
99,madagascar 3: europe's most wanted,2012.0,tt1277953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
100,"the chronicles of narnia: the lion, the witch and the wardrobe",2005.0,tt0363771,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
101,monsters university,2013.0,tt1453405,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
102,beverly hills cop,1984.0,tt0086960,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0.0,0
103,gravity,2013.0,tt1454468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1.0,0,0,0,0,0,0.0,0
104,captain america: the winter soldier,2014.0,tt1843866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
105,dawn of the planet of the apes,2014.0,tt2103281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0,1,0,0,0,0,0,0,0,1.0,0
106,transformers,2007.0,tt0418279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
107,the twilight saga: new moon,2009.0,tt1259571,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,1.0,0
108,spider-man 2,2004.0,tt0316654,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
109,the amazing spider-man 2,2014.0,tt1872181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
110,the twilight saga: eclipse,2010.0,tt1325004,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1.0,0,0,0,1.0,0
111,protocol,1984.0,tt0087951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
112,hunger,1966.0,tt0986233,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0,1,0,0,1,0,0,0,0,1.0,0
113,the hunger,1983.0,tt0085701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,1,0,0,1,0,0,0,0,1.0,0
114,the hunger games,2012.0,tt1392170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1.0,0
115,moana,2016.0,tt3521164,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
116,mission: impossible - rogue nation,2015.0,tt2381249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
117,interstellar,2014.0,tt0816692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0.0,0
118,doctor strange,2016.0,tt1211837,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
119,forrest gump,1994.0,tt0109830,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0
120,the sixth sense,1999.0,tt0167404,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,1.0,0,0,0,0,0,0.0,0
121,steel,1997.0,tt0120207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0,0,0,1.0,0
122,man of steel,2013.0,tt0770828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
123,kung fu panda 2,2011.0,tt1302011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,1,0,0,0,0,0,0,1,1.0,0
124,ice age: the meltdown,2006.0,tt0438097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
125,justice league,2017.0,tt0974015,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
126,big hero 6,2014.0,tt2245084,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1.0,0
127,fantastic beasts: the crimes of grindelwald,2018.0,tt4123430,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0,0,0,1.0,0
128,the hunger games: mockingjay - part 2,2015.0,tt1951266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1.0,0
129,star wars: episode ii - attack of the clones,2002.0,tt0121765,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0
130,thor: the dark world,2013.0,tt1981115,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
131,sing,2016.0,tt3470600,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
132,the incredibles,2004.0,tt0317705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0
133,kung fu panda,2008.0,tt0441773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0
134,the martian,2015.0,tt3659388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,1.0,0
135,fast five,2011.0,tt1596343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
136,iron man 2,2010.0,tt1228705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
137,hancock,2008.0,tt0448157,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
138,ant-man and the wasp,2018.0,tt5095030,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
139,ratatouille,2007.0,tt0382932,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
140,logan,2017.0,tt3315342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,0,0,0,1.0,0
141,the lost world: jurassic park,1997.0,tt0119567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
142,mamma mia!,2008.0,tt0795421,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
143,transformers: the last knight,2017.0,tt3371366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
144,madagascar: escape 2 africa,2008.0,tt0479952,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0
145,casino royale,1967.0,tt0381061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
146,tangled,2010.0,tt0398286,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0
147,war of the worlds,2005.0,tt0407304,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
148,the croods,2013.0,tt0481499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0
149,the hangover part ii,2011.0,tt1411697,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
150,quantum of solace,2008.0,tt0830515,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
151,legend,1985.0,tt3569230,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0
152,i am legend,2007.0,tt0480249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,1.0,0
153,iron man,2008.0,tt0371746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
154,the one,2001.0,tt0267804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0,0,0,0,0,0.0,0
155,ready player one,2018.0,tt1677720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
156,"monsters, inc.",2001.0,tt0198781,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0
157,star wars: episode vi - return of the jedi,1983.0,tt0086190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0
158,fifty shades of grey,2015.0,tt2322441,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,1.0,0
159,kong: skull island,2017.0,tt3731562,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
160,cars 2,2011.0,tt1216475,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0
161,armageddon,1998.0,tt0120591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.0,0
162,ted,2012.0,tt1637725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
163,sniper,1993.0,tt0108171,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1.0,0,0,0,1.0,0,0,0,0,0,1.0,0
164,american sniper,2014.0,tt2179136,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1.0,0
165,mission: impossible ii,2000.0,tt0120755,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,1.0,0
166,sherlock holmes: a game of shadows,2011.0,tt1515091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.0,0,0,0,1.0,0
167,x-men: apocalypse,2016.0,tt3385516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1.0,0
168,the day after tomorrow,2004.0,tt0319262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1.0,0
169,despicable me,2010.0,tt1323594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0
170,z,1969.0,tt0065234,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0
171,world war z,2013.0,tt0816711,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0
