,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,running_time
1252,tt3522806,mechanic: resurrection,2016,69882,5.7,40.0,125.7,5,98
1253,tt0119488,l.a. confidential,1997,502984,8.2,35.0,126.2,7,138
1254,tt1245492,this is the end,2013,367571,6.6,32.0,126.5,8,107
1255,tt0098067,parenthood,1989,42092,7.0,20.0,126.0,8,124
1256,tt2647586,resurrection,2014,14546,7.3,40.0,125.7,5,98
1257,tt0218967,the family man,2000,98096,6.8,60.0,124.7,5,126
1258,tt0327597,coraline,2009,182967,7.7,60.0,124.6,8,100
1259,tt0333780,"legally blonde 2: red, white & blonde",2003,58106,4.8,45.0,124.9,9,95
1261,tt0119008,donnie brasco,1997,259891,7.7,35.0,124.9,6,127
1262,tt0119345,i know what you did last summer,1997,125396,5.7,17.0,125.2,4,101
1263,tt0083944,first blood,1982,211442,7.7,15.0,125.2,3,93
1264,tt0058150,goldfinger,1964,161791,7.7,3.0,125.0,3,110
1265,tt0454876,life of pi,2012,549011,7.9,120.0,609.0,6,127
1266,tt0350258,ray,2004,129858,7.7,40.0,124.7,1,152
1267,tt0181865,traffic,2000,188344,7.6,46.0,208.3,6,147
1268,tt0268695,the time machine,1960,114308,6.0,0.83,2.61,5,103
1269,tt0268695,the time machine,2002,114308,6.0,80.0,123.7,5,96
1270,tt0155267,the thomas crown affair,1968,82618,6.8,48.0,124.3,3,113
1271,tt0155267,the thomas crown affair,1999,82618,6.8,48.0,124.3,3,113
1272,tt0089218,the goonies,1985,224668,7.8,19.0,124.0,7,109
1273,tt2980516,the theory of everything,2014,370412,7.7,15.0,123.7,6,123
1274,tt0093105,"good morning, vietnam",1987,118540,7.3,13.0,123.9,2,121
1275,tt0120461,volcano,1997,68735,5.5,90.0,122.8,5,104
1276,tt0166813,spirit: stallion of the cimarron,2002,59289,7.1,80.0,122.6,3,84
1277,tt0319061,big fish,2003,395669,8.0,70.0,122.9,10,125
1278,tt1987680,the upside,2017,34612,6.9,37.5,125.9,4,126
1279,tt0382077,hide and seek,2005,79030,6.0,25.0,122.7,4,101
1280,tt0120888,the wedding singer,1998,127420,6.8,18.0,123.3,3,96
1281,tt0099810,the hunt for red october,1990,167031,7.6,30.0,200.5,5,135
1282,tt1860357,deepwater horizon,2016,137598,7.1,156.0,121.8,6,107
